,SPTR
02/01/1996,0.007795041
03/01/1996,0.001132526
04/01/1996,-0.005815147
05/01/1996,-0.001603579
08/01/1996,0.00312658
09/01/1996,-0.014475687
10/01/1996,-0.017918514
11/01/1996,0.007083404
12/01/1996,-0.001458292
15/01/1996,-0.003306931
16/01/1996,0.014371535
17/01/1996,-0.003310489
18/01/1996,0.003177963
19/01/1996,0.005905316
22/01/1996,0.002566424
23/01/1996,-0.00098037
24/01/1996,0.01174175
25/01/1996,-0.004721893
26/01/1996,0.007438773
29/01/1996,0.004399313
30/01/1996,0.009531572
31/01/1996,0.009484719
01/02/1996,0.004026862
02/02/1996,-0.004045978
05/02/1996,0.008863562
06/02/1996,0.007664936
07/02/1996,0.005736503
08/02/1996,0.009668724
09/02/1996,0.000515711
12/02/1996,0.007801426
13/02/1996,-0.001156639
14/02/1996,-0.007336603
15/02/1996,-0.006313022
16/02/1996,-0.005000589
20/02/1996,-0.011297103
21/02/1996,0.011805001
22/02/1996,0.016643262
23/02/1996,0.000357677
26/02/1996,-0.013067022
27/02/1996,-0.004845541
28/02/1996,-0.003539882
29/02/1996,-0.006618195
01/03/1996,0.006174744
04/03/1996,0.010163557
05/03/1996,0.007753377
06/03/1996,-0.005482694
07/03/1996,0.00260207
08/03/1996,-0.030825159
11/03/1996,0.010338674
12/03/1996,-0.004571469
13/03/1996,0.002757422
14/03/1996,0.00364787
15/03/1996,0.000908049
18/03/1996,0.017540092
19/03/1996,-0.001446457
20/03/1996,-0.002614519
21/03/1996,-0.001155928
22/03/1996,0.002206074
25/03/1996,-0.000890714
26/03/1996,0.004506344
27/03/1996,-0.005912778
28/03/1996,6.19826E-05
29/03/1996,-0.005300377
01/04/1996,0.012758972
02/04/1996,0.002548515
03/04/1996,0.000963
04/04/1996,4.36234E-05
08/04/1996,-0.017368443
09/04/1996,-0.00316387
10/04/1996,-0.013498452
11/04/1996,-0.003563842
12/04/1996,0.008760867
15/04/1996,0.009078054
16/04/1996,0.003906974
17/04/1996,-0.005124721
18/04/1996,0.003153058
19/04/1996,0.002269117
22/04/1996,0.004371039
23/04/1996,0.005709263
24/04/1996,-0.0021263
25/04/1996,0.004160645
26/04/1996,0.001033189
29/04/1996,0.001105423
30/04/1996,0.000105106
01/05/1996,0.000752196
02/05/1996,-0.016952392
03/05/1996,-0.002676672
06/05/1996,-0.001187877
07/05/1996,-0.003953455
08/05/1996,0.010467854
09/05/1996,0.001310939
10/05/1996,0.010402045
13/05/1996,0.014629488
14/05/1996,0.00636315
15/05/1996,-0.000121684
16/05/1996,-0.000748735
17/05/1996,0.006516328
