Index,AT,AU,BE,CA,CH,DE,DK,ES,FI,FR,GB,GR,HK,IE,IL,IT,JP,NL,NO,NZ,PT,SE,SG,US
01-01-1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01-1999,0.010057422,0.009080183,0.042147443,0.013069942,0.035884766,0.052249372,0.026198057,0.069051164,0.052777675,0.049228896,-0.000962221,0.067368898,-0.022288419,0.024995149,0.02702541,0.06337689,-0.02156211,0.030730401,0.054121245,0,0.03497597,0.035431623,-0.003880762,-0.001151851
05-01-1999,0.013661499,-0.010048273,0.020161976,0.021940056,0.012016179,0.001444357,-0.00178869,0.026010918,0.014154372,0.01134644,0.015370377,-0.001400709,0.005711246,0.025534644,0.006894141,0.009527744,-0.015737607,0.009283475,0.007814987,0.032398423,0.015466686,0.014943866,-0.018466306,0.0131161
06-01-1999,0,0.015264123,-7.76E-05,0.027640355,0.015335366,0.036205196,0.000431721,0,0,0.021537426,0.03073042,0,0.034678504,0.047402529,0.017724888,0,0.009407781,0.019212023,0.02606129,0.009703939,0.032306174,0,0.05110352,0.022282799
07-01-1999,0.004103587,0.016563988,-0.016877413,-0.003479943,-0.011902088,-0.020187143,-0.019041006,-0.015609966,0.028011697,-0.013856129,-0.008839066,0.044141713,0.040219334,-0.012448965,-0.011541304,-0.000244742,0.01031119,-0.035180279,-0.017912878,0.025360078,-0.010676485,0.006753092,0.0413727,-0.000443792
08-01-1999,-0.000636857,-0.016401604,-0.009238139,0.007926691,0.011625964,0.009979093,-0.001476609,-0.005855345,0.006920813,0.003426457,0.005847791,0.001282312,0.000785006,-0.003077236,0.007419763,-0.002866788,-0.010447688,-0.002837696,0.025596563,-0.00457341,-0.00172612,0.000400256,0.030959566,0.003863876
11-01-1999,-0.006805101,-0.002059171,-0.009026382,-0.008878543,-0.018827985,-0.022054446,0.00670975,-0.016692446,-0.007844192,-0.010431589,-0.009664988,-0.007927957,-0.003443203,-0.001211543,0.009058902,-0.027245336,-0.002220868,-0.02239238,-0.007401353,0.011599654,-0.003240342,-0.020514225,-0.001682206,-0.009287887
12-01-1999,-0.008305318,-0.001932572,-0.011964282,-0.022194529,-0.006216697,-0.010664829,-0.000944145,-0.023282328,0.003528379,-0.021905661,-0.007933597,-0.002704752,0.006720912,-0.014964096,-0.012975991,-0.022474512,0.000545532,-0.013632379,-0.019525407,-0.01329457,-0.010675502,-0.019726931,-0.001773185,-0.019269931
13-01-1999,-0.023741509,-0.009991648,-0.023416284,-0.007598945,-0.039334054,-0.049248076,-0.023309621,-0.070166037,-0.059076193,-0.034923406,-0.029312665,-0.067442625,-0.037943687,-0.031455845,-0.037299601,-0.051946246,0.00088131,-0.05092838,-0.054497114,-0.018411735,-0.032379109,-0.032176697,-0.019649902,-0.00332407
14-01-1999,-0.008209473,-0.005952381,0.023891441,-0.007713529,-0.004014846,0.003543901,-0.003420031,-0.000188679,0.032638726,0.00747061,-0.006715667,0.036418917,-0.017586349,0.012277033,0.004624759,0.001957695,0.013812623,0.00955346,0.014689542,0.004747243,0.003149464,0.008601287,-0.009846669,-0.01734087
15-01-1999,-0.021520507,0.00089884,-0.014978039,0.033007435,0.017036709,0.007961207,0.004405452,0.029447311,0.013594657,0.013309663,0.019660612,-0.007440239,0.005841275,-0.001654419,0.006658237,0.025724873,0,0.02395976,-0.002511291,0.006872456,0.012323467,-0.005193249,0.016332845,0.024318019
18-01-1999,0.005324319,0.007621687,0.029269436,0.009600384,0.00432158,0.01577549,0.012947698,0.051689569,0.024830055,0.022778973,0.027519046,0.035863059,0.022257628,0.019108627,0.009146042,0.024361433,0.005085148,0.026866381,0.015631588,0.022195763,0.01283369,0.028431707,0.019695644,0
19-01-1999,-0.012106774,0.01039285,-0.002492153,-0.014894609,-0.005016055,0.007062446,-0.004974639,-0.009190805,0.022397256,-0.00952068,-0.015510218,-0.011175206,-0.014113528,0.006578265,0.006204174,-0.017159171,-0.003546173,0.006559681,0.004960749,0.019701887,-0.003893642,0.002931874,0,0.00708331
20-01-1999,-0.005236127,0.008718637,0.005668992,-0.007628481,0.01105117,0.01503325,0.00637878,0.012371563,0.026197901,0.014715463,0.011814732,0.016947026,0.001023316,0.010708287,0.015482449,0.00294482,0.015778783,0.00627755,-0.01592142,0.00988968,0.013056659,-0.003192323,0.005296036,0.003733024
21-01-1999,-0.001441823,-0.004854245,-0.017490892,-0.011886643,-0.021340989,0.00451405,-0.009918107,-0.015115175,-0.015482347,-0.007288522,-0.012657502,0.001799079,-0.028053005,0.004311204,-0.021318309,-0.022420466,0.013928478,-0.014535119,-0.002463794,-0.001693634,0.015091731,-0.013811798,-0.023555565,-0.018493115
22-01-1999,-0.027952336,-0.001545249,-0.016061328,-0.007483996,-0.011951473,-0.027647033,-0.016216231,-0.031345035,-0.041543648,-0.03072815,-0.025539288,-0.007286012,-0.037383787,-0.01755404,-0.002119921,-0.02513974,-0.007423935,-0.046085883,-0.008300772,-0.013450877,-0.018210964,-0.018490147,-0.015083911,-0.007662747
25-01-1999,-8.24E-05,-0.006858129,-0.007743086,0.009614565,0.004980552,-0.008160327,0.008914262,0.003422082,0.006823133,0.006541933,0.004677664,-0.025357412,-0.024258029,0.00501486,-0.014773525,0.001861996,0.001476737,0.008565438,0.000350797,-0.01473361,0.007771276,0.000437971,-0.054586988,0.008025768
26-01-1999,0.03246456,0,0.002672817,0.011438984,-0.000342452,0.001162058,-0.000223364,-0.006272041,-0.001735597,0.003747439,0.000737689,0.034385474,0.005524046,-0.008626602,0.001246291,0.004858269,0.012352727,-0.002695925,-0.000849432,0.007137247,0.005847831,-0.00225156,0.015304059,0.016578646
27-01-1999,0.002354461,0.009337423,-0.006909578,0.003403031,-0.005399245,0.013800796,0.002415703,0.001473758,0.024591363,0.006541977,-0.000361111,0.005536985,0.020261467,-0.006159096,-0.00221287,0.002452708,0.005974719,0.007010381,0.015072739,-0.010527879,-0.007642321,0.008289771,0.026078258,-0.007038007
28-01-1999,0.007056406,0.010787643,0.013762475,0.001715103,0.01482563,0.009968515,0.00337537,0.022393204,0.00542242,0.023102315,0.001413407,0.020149695,-0.037473669,-0.002222915,-0.000257421,0.013494368,-0.005821369,0.013408962,0.031070244,-0.002239319,0.002622789,0.021150334,-0.025864929,0.017717229
29-01-1999,0.013371471,0.005931102,0.003358776,0.016867266,0.008322714,0.013135957,0.002467862,0.004494423,0.001568727,0.01007926,0.002729553,0.020991184,0.01373484,-0.003185612,0.009269529,0.003243987,0.015665633,-0.013990238,0.0250896,0.004175234,0.006479024,0.009302681,0.003814806,0.010720317
01-02-1999,0.003033929,0.015310818,0.00992503,-0.002598265,0.011672199,0.013910793,0.000171525,0.0115838,-0.023221305,0.010105466,0.020015609,0.027354076,0.007513265,0.002230215,0.012147735,0.019544991,-0.008073095,0.017253879,0.014180414,0.016369289,0.005988603,0.018702353,-0.018720115,-0.006079572
